#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  94  0.894356  3.8144  4.3794  0.2211  4.9223  4.4035  4.1810  4.1532  4.1775  4.1988
  95  0.898108  3.8155  4.3712  0.2355  4.8804  4.3652  4.1464  4.1203  4.1453  4.1670
  96  0.901788  3.8166  4.3631  0.2496  4.8393  4.3276  4.1123  4.0878  4.1135  4.1357
  97  0.905398  3.8176  4.3550  0.2636  4.7989  4.2906  4.0786  4.0558  4.0822  4.1048
  98  0.908943  3.8186  4.3470  0.2773  4.7592  4.2541  4.0455  4.0241  4.0512  4.0742
  99  0.912427  3.8195  4.3390  0.2909  4.7202  4.2181  4.0126  3.9929  4.0206  4.0439
 100  0.915859  3.8205  4.3310  0.3043  4.6817  4.1826  3.9802  3.9619  3.9902  4.0140
 101  0.919239  3.8215  4.3231  0.3175  4.6437  4.1473  3.9481  3.9313  3.9602  3.9843
 102  0.922570  3.8224  4.3152  0.3306  4.6064  4.1127  3.9164  3.9010  3.9305  3.9550
 103  0.925850  3.8233  4.3073  0.3435  4.5696  4.0784  3.8851  3.8712  3.9011  3.9259
 104  0.929087  3.8241  4.2994  0.3563  4.5334  4.0446  3.8541  3.8415  3.8720  3.8971
 105  0.932282  3.8249  4.2914  0.3689  4.4977  4.0112  3.8234  3.8121  3.8431  3.8685
 106  0.935437  3.8256  4.2835  0.3814  4.4624  3.9781  3.7930  3.7830  3.8144  3.8402
 107  0.938554  3.8264  4.2755  0.3938  4.4278  3.9455  3.7629  3.7540  3.7858  3.8118
 108  0.941613  3.8270  4.2673  0.4061  4.3936  3.9132  3.7330  3.7252  3.7574  3.7838
 109  0.944614  3.8277  4.2591  0.4182  4.3601  3.8813  3.7033  3.6967  3.7291  3.7558
 110  0.947527  3.8283  4.2509  0.4302  4.3270  3.8499  3.6740  3.6683  3.7011  3.7279
 111  0.950338  3.8289  4.2427  0.4420  4.2943  3.8188  3.6449  3.6403  3.6734  3.7005
 112  0.951689  3.8291  4.2387  0.4478  4.2783  3.8036  3.6307  3.6265  3.6598  3.6870
 113  0.953038  3.8294  4.2345  0.4537  4.2622  3.7882  3.6163  3.6127  3.6460  3.6734
 114  0.954386  3.8297  4.2303  0.4596  4.2461  3.7726  3.6018  3.5986  3.6321  3.6595
 115  0.955733  3.8300  4.2260  0.4655  4.2298  3.7570  3.5871  3.5843  3.6179  3.6455
 116  0.957077  3.8303  4.2216  0.4716  4.2133  3.7412  3.5722  3.5699  3.6036  3.6313
 117  0.958420  3.8305  4.2171  0.4777  4.1969  3.7253  3.5572  3.5554  3.5891  3.6169
 118  0.959759  3.8307  4.2124  0.4838  4.1802  3.7092  3.5420  3.5406  3.5745  3.6023
 119  0.961097  3.8309  4.2077  0.4901  4.1635  3.6931  3.5267  3.5256  3.5596  3.5875
 120  0.962434  3.8311  4.2028  0.4963  4.1468  3.6767  3.5111  3.5105  3.5445  3.5726
 121  0.963770  3.8313  4.1979  0.5027  4.1299  3.6603  3.4954  3.4952  3.5293  3.5574
 122  0.965106  3.8315  4.1929  0.5090  4.1129  3.6437  3.4797  3.4797  3.5139  3.5421
 123  0.966439  3.8317  4.1878  0.5155  4.0958  3.6271  3.4636  3.4641  3.4983  3.5265
 124  0.967763  3.8319  4.1824  0.5221  4.0785  3.6102  3.4475  3.4482  3.4825  3.5108
 125  0.969089  3.8320  4.1771  0.5286  4.0612  3.5932  3.4311  3.4322  3.4665  3.4949
 126  0.970412  3.8322  4.1717  0.5352  4.0438  3.5761  3.4147  3.4161  3.4504  3.4789
 127  0.971734  3.8322  4.1661  0.5419  4.0264  3.5590  3.3981  3.3998  3.4341  3.4626
 128  0.973054  3.8324  4.1605  0.5486  4.0090  3.5418  3.3814  3.3834  3.4176  3.4462
 129  0.974370  3.8325  4.1547  0.5553  3.9915  3.5244  3.3646  3.3668  3.4010  3.4296
 130  0.975682  3.8325  4.1487  0.5621  3.9739  3.5070  3.3476  3.3500  3.3842  3.4128
 131  0.976991  3.8326  4.1427  0.5689  3.9564  3.4896  3.3305  3.3330  3.3672  3.3959
 132  0.978294  3.8326  4.1364  0.5758  3.9388  3.4720  3.3132  3.3159  3.3499  3.3787
 133  0.979592  3.8326  4.1300  0.5827  3.9213  3.4545  3.2958  3.2985  3.3325  3.3612
 134  0.980884  3.8325  4.1234  0.5897  3.9038  3.4368  3.2782  3.2810  3.3148  3.3435
 135  0.982170  3.8324  4.1167  0.5967  3.8863  3.4191  3.2604  3.2631  3.2969  3.3256
 136  0.983450  3.8324  4.1097  0.6038  3.8688  3.4013  3.2425  3.2452  3.2788  3.3074
 137  0.984724  3.8322  4.1025  0.6109  3.8513  3.3834  3.2245  3.2271  3.2605  3.2891
 138  0.985991  3.8320  4.0952  0.6181  3.8339  3.3656  3.2063  3.2086  3.2419  3.2705
 139  0.987252  3.8318  4.0877  0.6253  3.8165  3.3477  3.1880  3.1901  3.2231  3.2515
 140  0.988506  3.8315  4.0799  0.6325  3.7992  3.3297  3.1695  3.1712  3.2040  3.2324
 141  0.989751  3.8312  4.0719  0.6398  3.7820  3.3118  3.1508  3.1522  3.1847  3.2129
 142  0.990989  3.8309  4.0637  0.6471  3.7649  3.2938  3.1319  3.1329  3.1651  3.1932
 143  0.992217  3.8304  4.0552  0.6545  3.7481  3.2758  3.1129  3.1133  3.1452  3.1732
 144  0.993435  3.8299  4.0465  0.6619  3.7312  3.2579  3.0938  3.0935  3.1250  3.1528
 145  0.994641  3.8294  4.0373  0.6694  3.7147  3.2400  3.0744  3.0734  3.1045  3.1321
 146  0.995836  3.8288  4.0279  0.6768  3.6983  3.2221  3.0549  3.0531  3.0837  3.1111
 147  0.997016  3.8281  4.0182  0.6843  3.6823  3.2044  3.0353  3.0325  3.0626  3.0897
 148  0.998185  3.8274  4.0081  0.6919  3.6666  3.1868  3.0154  3.0115  3.0411  3.0680
 149  0.999336  3.8264  3.9976  0.6995  3.6513  3.1692  2.9954  2.9904  3.0193  3.0458
 150  1.000473  3.8255  3.9867  0.7070  3.6365  3.1519  2.9753  2.9688  2.9970  3.0232
 151  1.001594  3.8245  3.9753  0.7146  3.6221  3.1347  2.9549  2.9469  2.9744  3.0001
 152  1.002697  3.8233  3.9635  0.7222  3.6082  3.1178  2.9345  2.9247  2.9514  2.9767
 153  1.003784  3.8220  3.9512  0.7298  3.5949  3.1010  2.9139  2.9022  2.9280  2.9528
 154  1.004855  3.8206  3.9385  0.7374  3.5823  3.0846  2.8932  2.8795  2.9042  2.9285
 155  1.005911  3.8191  3.9252  0.7451  3.5702  3.0684  2.8724  2.8563  2.8800  2.9037
 156  1.006947  3.8174  3.9113  0.7527  3.5593  3.0526  2.8515  2.8329  2.8554  2.8783
 157  1.007970  3.8155  3.8966  0.7602  3.5492  3.0373  2.8305  2.8093  2.8304  2.8526
